Quentin L. Cook,sunday-afternoon,2022,10,4,6,Be True to God and His Work,/general-conference/2022/10/57cook,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5070-quentin-l-cook-32k-eng.mp3
Russell M. Nelson,sunday-afternoon,2022,10,4,7,Focus on the Temple,/general-conference/2022/10/58nelson,https://media2.ldscdn.org/assets/general-conference/october-2022-general-conference/2022-10-5080-russell-m-nelson-32k-eng.mp3
Russell M. Nelson,saturday-morning,2022,4,0,0,Preaching the Gospel of Peace,/general-conference/2022/04/11nelson,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1010-russell-m-nelson-32k-eng.mp3
M. Russell Ballard,saturday-morning,2022,4,0,1,Missionary Service Blessed My Life Forever,/general-conference/2022/04/12ballard,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1020-m-russell-ballard-32k-eng.mp3
Reyna I. Aburto,saturday-morning,2022,4,0,2,<em>We</em> Are The Church of Jesus Christ of Latter-day Saints,/general-conference/2022/04/13aburto,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1030-reyna-i-aburto-32k-eng.mp3
David A. Bednar,saturday-morning,2022,4,0,3,But We Heeded Them Not,/general-conference/2022/04/14bednar,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1040-david-a-bednar-32k-eng.mp3
Neil L. Andersen,saturday-morning,2022,4,0,4,Following Jesus: Being a Peacemaker,/general-conference/2022/04/15andersen,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1050-neil-l-andersen-32k-eng.mp3
Eduardo Gavarret,saturday-morning,2022,4,0,5,A Mighty Change of Heart: “I Have Nothing More to Give You”,/general-conference/2022/04/16gavarret,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1060-eduardo-gavarret-32k-eng.mp3
Larry S. Kacher,saturday-morning,2022,4,0,6,Ladder of Faith,/general-conference/2022/04/17kacher,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1070-larry-s-kacher-32k-eng.mp3
Henry B. Eyring,saturday-morning,2022,4,0,7,Steady in the Storms,/general-conference/2022/04/18eyring,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-1080-henry-b-eyring-32k-eng.mp3
Jeffrey R. Holland,saturday-afternoon,2022,4,1,2,Fear Not: Believe Only!,/general-conference/2022/04/23holland,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2030-jeffrey-r-holland-32k-eng.mp3
Patrick Kearon,saturday-afternoon,2022,4,1,3,He Is Risen with Healing in His Wings: We Can Be More Than Conquerors,/general-conference/2022/04/24kearon,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2040-patrick-kearon-32k-eng.mp3
Marcos A. Aidukaitis,saturday-afternoon,2022,4,1,4,Lift Up Your Heart and Rejoice,/general-conference/2022/04/25aidukaitis,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2050-marcos-a-aidukaitis-32k-eng.mp3
Gerrit W. Gong,saturday-afternoon,2022,4,1,5,We Each Have a Story,/general-conference/2022/04/26gong,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2060-gerrit-w-gong-32k-eng.mp3
Adrián Ochoa,saturday-afternoon,2022,4,1,6,Is the Plan Working?,/general-conference/2022/04/27ochoa,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2070-adrian-ochoa-32k-eng.mp3
Kevin S. Hamilton,saturday-afternoon,2022,4,1,7,“Then Will I Make Weak Things Become Strong”,/general-conference/2022/04/28hamilton,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2080-kevin-s-hamilton-32k-eng.mp3
Quentin L. Cook,saturday-afternoon,2022,4,1,8,Conversion to the Will of God,/general-conference/2022/04/29cook,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-2090-quentin-l-cook-32k-eng.mp3
Dallin H. Oaks,women's,2022,4,2,0,Introductory Message,/general-conference/2022/04/31oaks,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-3010-dallin-h-oaks-32k-eng.mp3
Susan H. Porter,women's,2022,4,2,1,Lessons at the Well,/general-conference/2022/04/32porter,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-3020-susan-h-porter-32k-eng.mp3
Rebecca L. Craven,women's,2022,4,2,2,Do What Mattereth Most,/general-conference/2022/04/33craven,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-3030-rebecca-l-craven-32k-eng.mp3
Jean B. Bingham,women's,2022,4,2,4,"Covenants with God Strengthen, Protect, and Prepare Us for Eternal Glory",/general-conference/2022/04/35bingham,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-3050-jean-b-bingham-32k-eng.mp3
Dale G. Renlund,women's,2022,4,2,5,Your Divine Nature and Eternal Destiny,/general-conference/2022/04/36renlund,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-3060-dale-g-renlund-32k-eng.mp3
D. Todd Christofferson,sunday-morning,2022,4,3,0,Our Relationship with God,/general-conference/2022/04/41christofferson,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4010-d-todd-christofferson-32k-eng.mp3
Amy A. Wright,sunday-morning,2022,4,3,1,Christ Heals That Which Is Broken,/general-conference/2022/04/42wright,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4020-amy-a-wright-32k-eng.mp3
Gary E. Stevenson,sunday-morning,2022,4,3,2,"Love, Share, Invite",/general-conference/2022/04/43stevenson,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4030-gary-e-stevenson-32k-eng.mp3
Michael T. Ringwood,sunday-morning,2022,4,3,3,For God So Loved Us,/general-conference/2022/04/44ringwood,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4040-michael-t-ringwood-32k-eng.mp3
Ronald A. Rasband,sunday-morning,2022,4,3,4,To Heal the World,/general-conference/2022/04/45rasband,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4050-ronald-a-rasband-32k-eng.mp3
Hugo E. Martinez,sunday-morning,2022,4,3,5,Teaching Self-Reliance to Children and Youth,/general-conference/2022/04/46martinez,https://media2.ldscdn.org/assets/general-conference/april-2022-general-conference/2022-04-4060-hugo-e-martinez-32k-eng.mp3
