"name","type","year","month","session_order","talk_order","title","base_uri","mp3"
"Bradley D. Foster","sunday-afternoon",2010,4,4,2,"Minha Mãe Me Disse","/general-conference/2010/04/mother-told-me","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5030-elder-bradley-d-foster-64k-por.mp3"
"James B. Martino","sunday-afternoon",2010,4,4,3,"Todas as Coisas Contribuem Juntamente para o Bem","/general-conference/2010/04/all-things-work-together-for-good","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5040-elder-james-b-martino-64k-por.mp3"
"Gregory A. Schwitzer","sunday-afternoon",2010,4,4,4,"Desenvolver um Bom Julgamento e Não Julgar os Outros","/general-conference/2010/04/developing-good-judgment-and-not-judging-others","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5050-elder-gregory-a-schwitzer-64k-por.mp3"
"Francisco J. Viñas","sunday-afternoon",2010,4,4,5,"Coisas Pertinentes à Retidão","/general-conference/2010/04/things-pertaining-to-righteousness","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5060-elder-francisco-j-vinas-64k-por.mp3"
"Neil L. Andersen","sunday-afternoon",2010,4,4,6,"Conta-me Histórias de Cristo","/general-conference/2010/04/tell-me-the-stories-of-jesus","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5070-elder-neil-l-andersen-64k-por.mp3"
"Thomas S. Monson","sunday-afternoon",2010,4,4,7,"Palavras de Encerramento","/general-conference/2010/04/a-word-at-closing","https://media2.ldscdn.org/assets/general-conference/april-2010-general-conference/2010-04-5080-president-thomas-s-monson-64k-por.mp3"
"Ann M. Dibb","young-women",2010,4,5,0,"“Tem Bom Ânimo”","/general-conference/2010/04/be-of-a-good-courage","https://media2.ldscdn.org/assets/general-young-women-meeting/2010-general-young-women-meeting/2010-03-0010-ann-m-dibb-64k-por.mp3"
"Mary N. Cook","young-women",2010,4,5,1,"Nunca, Nunca, Nunca Desista!","/general-conference/2010/04/never-never-never-give-up","https://media2.ldscdn.org/assets/general-young-women-meeting/2010-general-young-women-meeting/2010-03-0020-mary-n-cook-64k-por.mp3"
"Elaine S. Dalton","young-women",2010,4,5,2,"Lembrem-se de Quem São!","/general-conference/2010/04/remember-who-you-are","https://media2.ldscdn.org/assets/general-young-women-meeting/2010-general-young-women-meeting/2010-03-0040-elaine-s-dalton-64k-por.mp3"
"Dieter F. Uchtdorf","young-women",2010,4,5,3,"“Felizes para Sempre”","/general-conference/2010/04/your-happily-ever-after","https://media2.ldscdn.org/assets/general-young-women-meeting/2010-general-young-women-meeting/2010-03-0050-president-dieter-f-uchtdorf-64k-por.mp3"
"Thomas S. Monson","saturday-morning",2009,10,0,0,"Bem Vindos à Conferência","/general-conference/2009/10/welcome-to-conference","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1010-president-thomas-s-monson-64k-por.mp3"
"Richard G. Scott","saturday-morning",2009,10,0,1,"Receber Orientação Espiritual","/general-conference/2009/10/to-acquire-spiritual-guidance","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1020-elder-richard-g-scott-64k-por.mp3"
"Vicki F. Matsumori","saturday-morning",2009,10,0,2,"Ajudar os Outros a Reconhecer os Sussurros do Espírito","/general-conference/2009/10/helping-others-recognize-the-whisperings-of-the-spirit","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1030-vicki-f-matsumori-64k-por.mp3"
"L. Whitney Clayton","saturday-morning",2009,10,0,3,"Que Suas Cargas Lhes Sejam Leves","/general-conference/2009/10/that-your-burdens-may-be-light","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1040-elder-l-whitney-clayton-64k-por.mp3"
"Russell T. Osguthorpe","saturday-morning",2009,10,0,4,"O Ensino Ajuda a Salvar Vidas","/general-conference/2009/10/teaching-helps-save-lives","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1050-russell-t-osguthorpe-64k-por.mp3"
"David A. Bednar","saturday-morning",2009,10,0,5,"Mais Diligentes e Interessados em Casa","/general-conference/2009/10/more-diligent-and-concerned-at-home","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1060-elder-david-a-bednar-64k-por.mp3"
"Dieter F. Uchtdorf","saturday-morning",2009,10,0,6,"O Amor de Deus","/general-conference/2009/10/the-love-of-god","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-1070-president-dieter-f-uchtdorf-64k-por.mp3"
"Dallin H. Oaks","saturday-afternoon",2009,10,1,1,"O Amor e a Lei","/general-conference/2009/10/love-and-law","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-2020-elder-dallin-h-oaks-64k-por.mp3"
"Robert D. Hales","saturday-afternoon",2009,10,1,2,"Conhecer a Deus, Nosso Pai Celestial, e Seu Filho, Jesus Cristo","/general-conference/2009/10/seeking-to-know-god-our-heavenly-father-and-his-son-jesus-christ","https://media2.ldscdn.org/assets/general-conference/october-2009-general-conference/2009-10-2030-elder-robert-d-hales-64k-por.mp3"
